,Unnamed: 0,player_id,salary,_id,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,draft_year,height,position,shoots,weight
89,89,barnema02,1963000.9375,barnema02,1.8,43.6,33.5,74.5,929,12.7,0.0685035866663552,0.5615230983194703,0.6169977306278283,51.3,2002,6.583333333333333,Small Forward and Power Forward,Right,226.0
90,90,barroda01,2132291.6666666665,barroda01,3.3,46.0,41.1,85.8,850,16.4,0.5220143734461433,-0.67693887807702,0.8295266960458431,53.6,1989,5.916666666666667,Point Guard and Shooting Guard,Right,163.0
91,91,barrybr01,3564324.0,barrybr01,3.2,46.0,40.5,82.3,912,15.7,0.28540004990886275,-0.17238029510067204,1.482740722110035,57.0,1995,6.5,Small Forward and Shooting Guard,Right,185.0
92,92,barrydr01,206382.5,barrydr01,1.9,41.7,38.1,77.4,60,9.8,-1.114568031020048,-1.0438905747870912,-0.7019320253486743,53.4,1996,6.416666666666667,Shooting Guard and Point Guard,Right,191.0
93,93,barryjo01,1416071.4285714286,barryjo01,2.2,43.4,39.2,84.8,821,14.7,-0.4244429207029794,-0.7228078401657789,0.4419738767541693,52.4,1992,6.333333333333333,Shooting Guard,Right,195.0
94,94,bartowi01,2109019.0,bartowi01,2.4,43.1,34.1,78.8,438,14.4,0.5220143734461433,0.24044036369815808,-0.2081147233479933,48.9,2012,6.5,Shooting Guard,Right,190.0
95,95,bassbr01,3234292.4166666665,bassbr01,0.8,49.9,20.7,83.2,758,15.3,0.16709288814022216,0.5156541362307115,0.6169977306278283,50.0,2005,6.666666666666667,Power Forward and Center,Right,250.0
96,96,bastoma01,1058182.2,bastoma01,0.2,61.6,37.5,74.0,105,14.4,-1.015978729546181,-0.7686768022545378,-0.6487997839941707,62.5,1998,6.75,Power Forward,Right,215.0
97,97,battish01,4351509.384615385,battish01,1.8,43.7,38.4,74.3,977,12.6,0.14737502784544884,0.37804724996443495,1.6452628721355758,52.9,2001,6.666666666666667,Small Forward and Shooting Guard,Right,220.0
98,98,battito01,3840277.466666667,battito01,0.6,48.8,16.2,69.0,837,12.6,-0.34557147952388595,0.7908679087632648,0.41697046905793217,49.0,1997,6.916666666666667,Center and Power Forward,Right,230.0
